variable,carrier,sector,product,region,model,scenario,source,unit,comment,2020
Emissions Intensity|NH3|Production,NH3,Industrial Sector,NH3,World,,,EMEP/EEA Tier 1 emissions factor referenced to & IPPC BREF LVC AAF (2006) http://efdb.apps.eea.europa.eu/?source=%7B%22query%22%3A%7B%22bool%22%3A%7B%22must%22%3A%5B%7B%22term%22%3A%7B%22code%22%3A%222.B.1%20Ammonia%20production%22%7D%7D%5D%7D%7D%2C%22display_type%22%3A%22tabular%22%7D,kgNH3/tNH3,High estimate is based on discussions with Incitec Pivot and Tier 2 emissions factor from EMEP/EEA (although noting this is for steam methane reforming processes),0.01
Emissions Intensity|NH3|Production,NH3,Industrial Sector,NOx,World,,,EMEP/EEA Tier 1 emissions factor referenced to & IPPC BREF LVC AAF (2006) http://efdb.apps.eea.europa.eu/?source=%7B%22query%22%3A%7B%22bool%22%3A%7B%22must%22%3A%5B%7B%22term%22%3A%7B%22code%22%3A%222.B.1%20Ammonia%20production%22%7D%7D%5D%7D%7D%2C%22display_type%22%3A%22tabular%22%7D,kgNOx/tNH3,"High estimate is base on ratio of low-high for NH3. I do not have a source for this, and note the large CI range in the EMEP/EEA",1
Leakage Rate|H2|Production,H2,Industrial Sector,H2,World,,,"Frazer-Nash Consulting (2022) https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1067137/fugitive-hydrogen-emissions-future-hydrogen-economy.pdf, and https://www.nrel.gov/docs/fy14osti/60528.pdf, Osman et al (2021) https://doi.org/10.1007/s10311-021-01322-8, and Atilhan et al (2021), and Al Ghafri et al (2022) https://doi.org/10.3390/en15031149",% of H2,"leakage not combustion. Leakage from production and storage only. Include venting and purging at production in and above some ground storage in high case, and assumes no venting or purging from production and undergound ground storage in low case",0.26
